,year,id_,marital,agewed,divorce,hapmar,zodiac,ballot
22076,1988,202,Married,33,NO,VERY HAPPY,Cancer,Ballot c
22077,1988,203,Married,25,NO,VERY HAPPY,Aries,Ballot c
22078,1988,204,Married,23,YES,VERY HAPPY,Capricorn,Ballot a
22079,1988,205,Married,23,NO,PRETTY HAPPY,Aries,Ballot b
22080,1988,206,Married,19,NO,VERY HAPPY,Scorpio,Ballot b
22082,1988,208,Married,27,NO,PRETTY HAPPY,Libra,Ballot a
22083,1988,209,Married,20,NO,PRETTY HAPPY,Cancer,Ballot b
22086,1988,212,Married,30,NO,VERY HAPPY,Leo,Ballot b
22087,1988,213,Married,25,NO,PRETTY HAPPY,Aries,Ballot c
22093,1988,219,Married,20,NO,PRETTY HAPPY,Virgo,Ballot a
22094,1988,220,Married,18,NO,PRETTY HAPPY,Pisces,Ballot a
22098,1988,224,Married,27,NO,VERY HAPPY,Sagittarius,Ballot a
22101,1988,227,Married,22,NO,VERY HAPPY,Aries,Ballot b
22102,1988,228,Married,18,NO,NOT TOO HAPPY,Cancer,Ballot c
22103,1988,229,Married,24,NO,VERY HAPPY,Taurus,Ballot b
22104,1988,230,Married,27,NO,VERY HAPPY,Libra,Ballot b
22105,1988,231,Married,19,NO,VERY HAPPY,Sagittarius,Ballot a
22106,1988,232,Married,18,NO,VERY HAPPY,Aquarius,Ballot a
22107,1988,233,Married,19,NO,VERY HAPPY,Scorpio,Ballot a
22108,1988,234,Married,27,NO,VERY HAPPY,Sagittarius,Ballot a
22113,1988,239,Married,16,NO,VERY HAPPY,Capricorn,Ballot c
22114,1988,240,Married,19,YES,PRETTY HAPPY,Virgo,Ballot c
22116,1988,242,Married,17,YES,VERY HAPPY,Capricorn,Ballot c
22118,1988,244,Married,21,NO,VERY HAPPY,Cancer,Ballot b
22120,1988,246,Married,21,YES,VERY HAPPY,Taurus,Ballot b
22122,1988,248,Married,25,NO,VERY HAPPY,Capricorn,Ballot b
22123,1988,249,Married,18,NO,VERY HAPPY,Aquarius,Ballot b
22124,1988,250,Married,20,YES,VERY HAPPY,Aquarius,Ballot c
22127,1988,253,Married,35,NO,VERY HAPPY,Pisces,Ballot c
22130,1988,256,Married,19,YES,VERY HAPPY,Leo,Ballot c
22132,1988,258,Married,22,NO,VERY HAPPY,Sagittarius,Ballot c
22137,1988,263,Married,42,NO,VERY HAPPY,Sagittarius,Ballot a
22141,1988,267,Married,20,NO,PRETTY HAPPY,Cancer,Ballot b
22146,1988,272,Married,26,NO,PRETTY HAPPY,Pisces,Ballot a
22149,1988,275,Married,21,NO,VERY HAPPY,Cancer,Ballot b
22150,1988,276,Married,19,NO,PRETTY HAPPY,Taurus,Ballot a
22152,1988,278,Married,27,NO,PRETTY HAPPY,Sagittarius,Ballot c
22160,1988,286,Married,19,NO,PRETTY HAPPY,Pisces,Ballot c
22161,1988,287,Married,28,YES,VERY HAPPY,Gemini,Ballot a
22164,1988,290,Married,23,YES,VERY HAPPY,Pisces,Ballot b
22167,1988,293,Married,32,YES,NOT TOO HAPPY,Pisces,Ballot a
22168,1988,294,Married,17,YES,VERY HAPPY,Aquarius,Ballot c
22169,1988,295,Married,25,NO,VERY HAPPY,Sagittarius,Ballot c
22172,1988,298,Married,18,NO,PRETTY HAPPY,Capricorn,Ballot b
22173,1988,299,Married,25,NO,VERY HAPPY,Cancer,Ballot c
22175,1988,301,Married,18,NO,PRETTY HAPPY,Pisces,Ballot c
22179,1988,305,Married,24,NO,VERY HAPPY,Capricorn,Ballot b
22180,1988,306,Married,19,NO,VERY HAPPY,Pisces,Ballot b
22182,1988,308,Married,21,NO,PRETTY HAPPY,Gemini,Ballot b
22183,1988,309,Married,19,NO,VERY HAPPY,Aries,Ballot b
22184,1988,310,Married,23,NO,PRETTY HAPPY,Aquarius,Ballot b
