,year,id_,marital,agewed,divorce,hapmar,zodiac,ballot
23638,1989,283,Married,23,NO,VERY HAPPY,Pisces,Ballot c
23640,1989,285,Married,23,NO,VERY HAPPY,Aquarius,Ballot b
23641,1989,286,Married,22,NO,PRETTY HAPPY,Sagittarius,Ballot a
23642,1989,287,Married,23,NO,VERY HAPPY,Aquarius,Ballot b
23643,1989,288,Married,23,NO,PRETTY HAPPY,Cancer,Ballot c
23645,1989,290,Married,23,NO,VERY HAPPY,Aquarius,Ballot b
23646,1989,291,Married,18,NO,PRETTY HAPPY,Aquarius,Ballot a
23647,1989,292,Married,20,NO,VERY HAPPY,Capricorn,Ballot a
23648,1989,293,Married,25,NO,VERY HAPPY,Leo,Ballot a
23649,1989,294,Married,21,NO,VERY HAPPY,Aries,Ballot c
23650,1989,295,Married,30,NO,VERY HAPPY,Scorpio,Ballot c
23652,1989,297,Married,27,NO,VERY HAPPY,Aquarius,Ballot a
23653,1989,298,Married,24,NO,PRETTY HAPPY,Scorpio,Ballot a
23654,1989,299,Married,36,NO,VERY HAPPY,Leo,Ballot b
23655,1989,300,Married,25,NO,PRETTY HAPPY,Pisces,Ballot b
23656,1989,301,Married,30,NO,VERY HAPPY,Pisces,Ballot a
23657,1989,302,Married,20,NO,NOT TOO HAPPY,Scorpio,Ballot a
23659,1989,304,Married,30,NO,VERY HAPPY,Leo,Ballot c
23660,1989,305,Married,23,YES,PRETTY HAPPY,Cancer,Ballot c
23662,1989,307,Married,28,NO,VERY HAPPY,Taurus,Ballot c
23663,1989,308,Married,19,NO,VERY HAPPY,Leo,Ballot a
23665,1989,310,Married,23,NO,PRETTY HAPPY,Libra,Ballot c
23666,1989,311,Married,21,NO,VERY HAPPY,Pisces,Ballot c
23667,1989,312,Married,20,NO,VERY HAPPY,Taurus,Ballot b
23670,1989,315,Married,21,NO,PRETTY HAPPY,Pisces,Ballot a
23671,1989,316,Married,25,NO,VERY HAPPY,Virgo,Ballot c
23674,1989,319,Married,21,NO,VERY HAPPY,Sagittarius,Ballot b
23680,1989,325,Married,23,NO,VERY HAPPY,Virgo,Ballot c
23684,1989,329,Married,22,NO,VERY HAPPY,Virgo,Ballot c
23686,1989,331,Married,53,NO,PRETTY HAPPY,Aries,Ballot b
23687,1989,332,Married,20,YES,VERY HAPPY,Aries,Ballot b
23688,1989,333,Married,23,YES,PRETTY HAPPY,Libra,Ballot c
23689,1989,334,Married,18,NO,NOT TOO HAPPY,Virgo,Ballot c
23690,1989,335,Married,18,NO,PRETTY HAPPY,Cancer,Ballot a
23692,1989,337,Married,25,NO,VERY HAPPY,Capricorn,Ballot b
23695,1989,340,Married,21,NO,PRETTY HAPPY,Leo,Ballot a
23696,1989,341,Married,29,NO,VERY HAPPY,Capricorn,Ballot a
23697,1989,342,Married,22,NO,PRETTY HAPPY,Libra,Ballot c
23698,1989,343,Married,20,YES,PRETTY HAPPY,Taurus,Ballot a
23699,1989,344,Married,20,NO,PRETTY HAPPY,Taurus,Ballot a
23705,1989,350,Married,17,YES,VERY HAPPY,Cancer,Ballot c
23710,1989,355,Married,22,NO,PRETTY HAPPY,Libra,Ballot a
23714,1989,359,Married,22,NO,PRETTY HAPPY,Gemini,Ballot c
23715,1989,360,Married,19,YES,VERY HAPPY,Libra,Ballot a
23724,1989,369,Married,27,NO,VERY HAPPY,Capricorn,Ballot b
23726,1989,371,Married,16,NO,VERY HAPPY,Virgo,Ballot b
23729,1989,374,Married,26,NO,PRETTY HAPPY,Cancer,Ballot a
23730,1989,375,Married,23,NO,PRETTY HAPPY,Scorpio,Ballot b
23731,1989,376,Married,20,NO,PRETTY HAPPY,Aquarius,Ballot a
23732,1989,377,Married,23,NO,PRETTY HAPPY,Libra,Ballot b
23733,1989,378,Married,21,NO,PRETTY HAPPY,Scorpio,Ballot b
23734,1989,379,Married,23,NO,PRETTY HAPPY,Taurus,Ballot c
23736,1989,381,Married,17,NO,PRETTY HAPPY,Aries,Ballot a
23738,1989,383,Married,20,NO,PRETTY HAPPY,Virgo,Ballot a
23739,1989,384,Married,16,NO,PRETTY HAPPY,Taurus,Ballot a
23742,1989,387,Married,38,NO,NOT TOO HAPPY,Aquarius,Ballot c
23743,1989,388,Married,28,NO,VERY HAPPY,Scorpio,Ballot c
23745,1989,390,Married,27,NO,VERY HAPPY,Cancer,Ballot a
23747,1989,392,Married,26,NO,VERY HAPPY,Pisces,Ballot c
23749,1989,394,Married,22,NO,PRETTY HAPPY,Aries,Ballot a
23750,1989,395,Married,20,NO,VERY HAPPY,Sagittarius,Ballot c
23751,1989,396,Married,20,YES,PRETTY HAPPY,Sagittarius,Ballot a
23752,1989,397,Married,21,NO,VERY HAPPY,Cancer,Ballot a
23753,1989,398,Married,22,NO,PRETTY HAPPY,Aquarius,Ballot b
23755,1989,400,Married,21,NO,PRETTY HAPPY,Taurus,Ballot a
23758,1989,403,Married,32,NO,PRETTY HAPPY,Virgo,Ballot a
23760,1989,405,Married,17,YES,VERY HAPPY,Scorpio,Ballot c
23761,1989,406,Married,18,NO,VERY HAPPY,Libra,Ballot c
23763,1989,408,Married,23,NO,PRETTY HAPPY,Cancer,Ballot a
23766,1989,411,Married,22,YES,VERY HAPPY,Capricorn,Ballot c
23768,1989,413,Married,20,NO,VERY HAPPY,Aries,Ballot a
23776,1989,421,Married,25,NO,VERY HAPPY,Virgo,Ballot a
23777,1989,422,Married,29,NO,VERY HAPPY,Leo,Ballot a
23778,1989,423,Married,19,NO,VERY HAPPY,Virgo,Ballot c
23780,1989,425,Married,24,NO,PRETTY HAPPY,Pisces,Ballot b
23782,1989,427,Married,21,NO,PRETTY HAPPY,Virgo,Ballot b
23783,1989,428,Married,23,NO,VERY HAPPY,Pisces,Ballot a
23784,1989,429,Married,25,YES,VERY HAPPY,Gemini,Ballot c
23786,1989,431,Married,23,YES,VERY HAPPY,Aquarius,Ballot a
23787,1989,432,Married,19,NO,VERY HAPPY,Aquarius,Ballot a
23788,1989,433,Married,26,NO,VERY HAPPY,Aquarius,Ballot a
23789,1989,434,Married,22,NO,PRETTY HAPPY,Taurus,Ballot b
23791,1989,436,Married,20,NO,NOT TOO HAPPY,Pisces,Ballot b
23794,1989,439,Married,21,NO,PRETTY HAPPY,Scorpio,Ballot b
23795,1989,440,Married,22,NO,PRETTY HAPPY,Capricorn,Ballot c
23796,1989,441,Married,21,NO,VERY HAPPY,Capricorn,Ballot a
23797,1989,442,Married,19,NO,VERY HAPPY,Aries,Ballot c
23798,1989,443,Married,25,NO,PRETTY HAPPY,Leo,Ballot a
23799,1989,444,Married,20,NO,VERY HAPPY,Scorpio,Ballot a
23800,1989,445,Married,35,NO,VERY HAPPY,Cancer,Ballot b
23803,1989,448,Married,23,YES,VERY HAPPY,Taurus,Ballot a
23805,1989,450,Married,25,NO,VERY HAPPY,Libra,Ballot c
23806,1989,451,Married,18,NO,VERY HAPPY,Aquarius,Ballot a
23810,1989,455,Married,23,NO,VERY HAPPY,Pisces,Ballot b
23811,1989,456,Married,21,YES,VERY HAPPY,Virgo,Ballot b
23812,1989,457,Married,29,NO,VERY HAPPY,Leo,Ballot a
23813,1989,458,Married,17,NO,PRETTY HAPPY,Pisces,Ballot a
23814,1989,459,Married,19,NO,PRETTY HAPPY,Gemini,Ballot a
23815,1989,460,Married,18,YES,PRETTY HAPPY,Libra,Ballot b
23819,1989,464,Married,23,NO,PRETTY HAPPY,Taurus,Ballot a
23820,1989,465,Married,23,NO,VERY HAPPY,Cancer,Ballot a
23825,1989,470,Married,22,YES,VERY HAPPY,Capricorn,Ballot b
23826,1989,471,Married,27,YES,PRETTY HAPPY,Taurus,Ballot c
23829,1989,474,Married,26,YES,PRETTY HAPPY,Aries,Ballot a
23830,1989,475,Married,20,YES,VERY HAPPY,Pisces,Ballot a
23831,1989,476,Married,19,NO,VERY HAPPY,Leo,Ballot b
23832,1989,477,Married,21,YES,VERY HAPPY,Pisces,Ballot b
23833,1989,478,Married,23,NO,VERY HAPPY,Libra,Ballot b
23836,1989,481,Married,21,NO,VERY HAPPY,Virgo,Ballot a
23839,1989,484,Married,23,NO,VERY HAPPY,Leo,Ballot b
23842,1989,487,Married,24,NO,VERY HAPPY,Aquarius,Ballot c
23843,1989,488,Married,20,NO,VERY HAPPY,Sagittarius,Ballot a
23848,1989,493,Married,18,YES,VERY HAPPY,Libra,Ballot c
23849,1989,494,Married,21,NO,VERY HAPPY,Leo,Ballot b
23850,1989,495,Married,22,NO,VERY HAPPY,Leo,Ballot b
23851,1989,496,Married,20,NO,VERY HAPPY,Scorpio,Ballot a
23852,1989,497,Married,23,YES,PRETTY HAPPY,Capricorn,Ballot c
23854,1989,499,Married,35,NO,VERY HAPPY,Gemini,Ballot b
23857,1989,502,Married,21,YES,PRETTY HAPPY,Capricorn,Ballot b
23864,1989,509,Married,23,NO,VERY HAPPY,Sagittarius,Ballot c
23875,1989,520,Married,37,NO,PRETTY HAPPY,Taurus,Ballot c
23877,1989,522,Married,24,NO,VERY HAPPY,Virgo,Ballot c
23878,1989,523,Married,29,NO,VERY HAPPY,Capricorn,Ballot b
23880,1989,525,Married,18,NO,VERY HAPPY,Pisces,Ballot c
23881,1989,526,Married,21,NO,VERY HAPPY,Capricorn,Ballot c
23882,1989,527,Married,19,NO,VERY HAPPY,Libra,Ballot a
23883,1989,528,Married,24,NO,PRETTY HAPPY,Taurus,Ballot b
23885,1989,530,Married,21,NO,VERY HAPPY,Pisces,Ballot b
23896,1989,541,Married,24,NO,VERY HAPPY,Pisces,Ballot a
23898,1989,543,Married,20,YES,VERY HAPPY,Scorpio,Ballot b
23900,1989,545,Married,21,NO,VERY HAPPY,Leo,Ballot b
23901,1989,546,Married,21,NO,VERY HAPPY,Virgo,Ballot c
23902,1989,547,Married,20,NO,VERY HAPPY,Libra,Ballot a
23903,1989,548,Married,21,YES,PRETTY HAPPY,Aquarius,Ballot a
23908,1989,553,Married,34,NO,VERY HAPPY,Cancer,Ballot b
23909,1989,554,Married,17,NO,PRETTY HAPPY,Sagittarius,Ballot b
23910,1989,555,Married,20,NO,VERY HAPPY,Libra,Ballot a
23912,1989,557,Married,17,NO,VERY HAPPY,Scorpio,Ballot c
23913,1989,558,Married,23,NO,VERY HAPPY,Aquarius,Ballot a
23914,1989,559,Married,20,NO,PRETTY HAPPY,Pisces,Ballot c
23915,1989,560,Married,21,NO,VERY HAPPY,Pisces,Ballot c
23916,1989,561,Married,25,NO,PRETTY HAPPY,Pisces,Ballot a
23917,1989,562,Married,25,NO,PRETTY HAPPY,Gemini,Ballot c
23918,1989,563,Married,21,YES,VERY HAPPY,Libra,Ballot b
23923,1989,568,Married,23,NO,PRETTY HAPPY,Leo,Ballot c
23924,1989,569,Married,24,NO,VERY HAPPY,Capricorn,Ballot a
23925,1989,570,Married,19,NO,VERY HAPPY,Scorpio,Ballot a
23927,1989,572,Married,25,NO,VERY HAPPY,Libra,Ballot a
23929,1989,574,Married,22,NO,VERY HAPPY,Leo,Ballot b
23930,1989,575,Married,32,NO,VERY HAPPY,Libra,Ballot b
23931,1989,576,Married,21,NO,VERY HAPPY,Virgo,Ballot b
23932,1989,577,Married,18,NO,VERY HAPPY,Sagittarius,Ballot c
23933,1989,578,Married,21,NO,VERY HAPPY,Aquarius,Ballot a
23934,1989,579,Married,19,YES,VERY HAPPY,Taurus,Ballot c
23936,1989,581,Married,23,NO,VERY HAPPY,Aries,Ballot b
23938,1989,583,Married,21,NO,VERY HAPPY,Aquarius,Ballot a
23941,1989,586,Married,18,YES,VERY HAPPY,Virgo,Ballot c
23943,1989,588,Married,21,NO,PRETTY HAPPY,Gemini,Ballot b
23945,1989,590,Married,29,NO,VERY HAPPY,Pisces,Ballot b
23946,1989,591,Married,24,NO,VERY HAPPY,Capricorn,Ballot c
23947,1989,592,Married,30,NO,VERY HAPPY,Sagittarius,Ballot a
23949,1989,594,Married,19,NO,VERY HAPPY,Taurus,Ballot b
23950,1989,595,Married,21,NO,VERY HAPPY,Aquarius,Ballot b
23951,1989,596,Married,21,YES,VERY HAPPY,Libra,Ballot c
23952,1989,597,Married,21,NO,PRETTY HAPPY,Scorpio,Ballot c
23953,1989,598,Married,19,NO,VERY HAPPY,Libra,Ballot b
23954,1989,599,Married,21,NO,VERY HAPPY,Gemini,Ballot b
23956,1989,601,Married,25,YES,VERY HAPPY,Aries,Ballot c
23957,1989,602,Married,21,NO,VERY HAPPY,Taurus,Ballot b
23958,1989,603,Married,22,NO,VERY HAPPY,Aries,Ballot b
23960,1989,605,Married,21,NO,PRETTY HAPPY,Cancer,Ballot b
23962,1989,607,Married,22,NO,VERY HAPPY,Aquarius,Ballot a
23963,1989,608,Married,17,YES,VERY HAPPY,Virgo,Ballot a
23964,1989,609,Married,24,NO,VERY HAPPY,Pisces,Ballot a
23965,1989,610,Married,25,NO,VERY HAPPY,Aquarius,Ballot b
23966,1989,611,Married,27,NO,PRETTY HAPPY,Leo,Ballot a
23967,1989,612,Married,23,NO,VERY HAPPY,Sagittarius,Ballot c
23968,1989,613,Married,26,NO,VERY HAPPY,Sagittarius,Ballot b
23969,1989,614,Married,19,NO,VERY HAPPY,Libra,Ballot a
23970,1989,615,Married,18,NO,VERY HAPPY,Cancer,Ballot c
23971,1989,616,Married,36,NO,PRETTY HAPPY,Virgo,Ballot a
23972,1989,617,Married,37,NO,VERY HAPPY,Taurus,Ballot c
23974,1989,619,Married,20,YES,VERY HAPPY,Sagittarius,Ballot c
23975,1989,620,Married,21,NO,PRETTY HAPPY,Pisces,Ballot b
23976,1989,621,Married,20,YES,PRETTY HAPPY,Cancer,Ballot b
23977,1989,622,Married,20,NO,PRETTY HAPPY,Gemini,Ballot a
23985,1989,630,Married,22,NO,PRETTY HAPPY,Aries,Ballot a
23986,1989,631,Married,20,NO,VERY HAPPY,Leo,Ballot c
23987,1989,632,Married,27,NO,VERY HAPPY,Libra,Ballot b
23989,1989,634,Married,17,NO,PRETTY HAPPY,Leo,Ballot a
23990,1989,635,Married,20,NO,PRETTY HAPPY,Virgo,Ballot a
23991,1989,636,Married,18,NO,PRETTY HAPPY,Taurus,Ballot a
23992,1989,637,Married,22,NO,PRETTY HAPPY,Aries,Ballot b
23994,1989,639,Married,18,NO,VERY HAPPY,Taurus,Ballot a
23996,1989,641,Married,26,NO,VERY HAPPY,Taurus,Ballot c
23998,1989,643,Married,32,NO,VERY HAPPY,Sagittarius,Ballot b
23999,1989,644,Married,24,NO,PRETTY HAPPY,Scorpio,Ballot a
24001,1989,646,Married,22,NO,VERY HAPPY,Gemini,Ballot c
24003,1989,648,Married,23,NO,PRETTY HAPPY,Pisces,Ballot b
24004,1989,649,Married,22,NO,VERY HAPPY,Sagittarius,Ballot a
24005,1989,650,Married,20,NO,VERY HAPPY,Pisces,Ballot b
24007,1989,652,Married,27,NO,VERY HAPPY,Cancer,Ballot a
24008,1989,653,Married,22,NO,VERY HAPPY,Taurus,Ballot a
24009,1989,654,Married,29,NO,VERY HAPPY,Libra,Ballot a
24010,1989,655,Married,28,NO,VERY HAPPY,Libra,Ballot c
24015,1989,660,Married,32,NO,VERY HAPPY,Pisces,Ballot b
24017,1989,662,Married,19,NO,VERY HAPPY,Virgo,Ballot b
24018,1989,663,Married,19,YES,VERY HAPPY,Gemini,Ballot b
24020,1989,665,Married,21,NO,VERY HAPPY,Aries,Ballot c
24022,1989,667,Married,24,NO,VERY HAPPY,Virgo,Ballot c
24024,1989,669,Married,20,NO,PRETTY HAPPY,Pisces,Ballot c
24025,1989,670,Married,23,NO,PRETTY HAPPY,Libra,Ballot b
24027,1989,672,Married,25,NO,PRETTY HAPPY,Leo,Ballot a
24028,1989,673,Married,22,NO,PRETTY HAPPY,Cancer,Ballot c
24032,1989,677,Married,25,YES,NOT TOO HAPPY,Aries,Ballot b
24034,1989,679,Married,24,NO,PRETTY HAPPY,Taurus,Ballot a
24037,1989,682,Married,22,NO,PRETTY HAPPY,Aries,Ballot a
24041,1989,686,Married,27,NO,VERY HAPPY,Aries,Ballot c
24042,1989,687,Married,24,NO,PRETTY HAPPY,Pisces,Ballot a
24043,1989,688,Married,23,NO,VERY HAPPY,Cancer,Ballot b
24046,1989,691,Married,30,NO,VERY HAPPY,Pisces,Ballot a
24048,1989,693,Married,27,NO,VERY HAPPY,Taurus,Ballot c
24049,1989,694,Married,17,NO,PRETTY HAPPY,Aquarius,Ballot b
24050,1989,695,Married,21,YES,VERY HAPPY,Cancer,Ballot c
24053,1989,698,Married,20,YES,PRETTY HAPPY,Leo,Ballot b
24054,1989,699,Married,24,YES,PRETTY HAPPY,Taurus,Ballot a
24057,1989,702,Married,20,NO,VERY HAPPY,Gemini,Ballot c
24058,1989,703,Married,21,NO,VERY HAPPY,Virgo,Ballot b
24064,1989,709,Married,21,NO,PRETTY HAPPY,Gemini,Ballot b
24065,1989,710,Married,18,YES,VERY HAPPY,Capricorn,Ballot b
24066,1989,711,Married,21,NO,VERY HAPPY,Aries,Ballot c
24068,1989,713,Married,24,NO,VERY HAPPY,Sagittarius,Ballot b
24069,1989,714,Married,24,NO,PRETTY HAPPY,Leo,Ballot c
24070,1989,715,Married,25,NO,VERY HAPPY,Sagittarius,Ballot c
24072,1989,717,Married,19,NO,VERY HAPPY,Virgo,Ballot b
24073,1989,718,Married,27,NO,VERY HAPPY,Pisces,Ballot c
24074,1989,719,Married,22,NO,PRETTY HAPPY,Scorpio,Ballot a
24075,1989,720,Married,23,YES,VERY HAPPY,Sagittarius,Ballot b
24078,1989,723,Married,19,NO,VERY HAPPY,Capricorn,Ballot b
24079,1989,724,Married,20,YES,PRETTY HAPPY,Scorpio,Ballot a
24081,1989,726,Married,18,NO,VERY HAPPY,Aquarius,Ballot a
24082,1989,727,Married,23,NO,NOT TOO HAPPY,Leo,Ballot c
24084,1989,729,Married,24,NO,PRETTY HAPPY,Gemini,Ballot a
24085,1989,730,Married,23,YES,PRETTY HAPPY,Gemini,Ballot c
24087,1989,732,Married,22,NO,VERY HAPPY,Capricorn,Ballot b
24088,1989,733,Married,37,NO,VERY HAPPY,Gemini,Ballot c
24090,1989,735,Married,19,YES,PRETTY HAPPY,Sagittarius,Ballot a
24093,1989,738,Married,27,NO,VERY HAPPY,Capricorn,Ballot c
24098,1989,743,Married,21,NO,PRETTY HAPPY,Aquarius,Ballot b
24103,1989,748,Married,30,NO,VERY HAPPY,Scorpio,Ballot c
24106,1989,751,Married,27,NO,VERY HAPPY,Virgo,Ballot b
24107,1989,752,Married,18,NO,VERY HAPPY,Scorpio,Ballot c
24108,1989,753,Married,18,NO,VERY HAPPY,Capricorn,Ballot c
24109,1989,754,Married,20,NO,PRETTY HAPPY,Cancer,Ballot c
24110,1989,755,Married,20,NO,PRETTY HAPPY,Cancer,Ballot c
24111,1989,756,Married,19,NO,PRETTY HAPPY,Capricorn,Ballot a
24112,1989,757,Married,18,NO,VERY HAPPY,Taurus,Ballot c
24113,1989,758,Married,27,NO,PRETTY HAPPY,Pisces,Ballot a
24116,1989,761,Married,19,NO,VERY HAPPY,Aquarius,Ballot b
24118,1989,763,Married,27,NO,VERY HAPPY,Libra,Ballot b
24120,1989,765,Married,19,NO,PRETTY HAPPY,Taurus,Ballot b
24121,1989,766,Married,24,NO,PRETTY HAPPY,Sagittarius,Ballot a
24124,1989,769,Married,19,NO,PRETTY HAPPY,Aries,Ballot c
24125,1989,770,Married,21,NO,PRETTY HAPPY,Cancer,Ballot b
24126,1989,771,Married,33,NO,PRETTY HAPPY,Pisces,Ballot b
24127,1989,772,Married,18,NO,NOT TOO HAPPY,Cancer,Ballot b
24128,1989,773,Married,18,NO,PRETTY HAPPY,Scorpio,Ballot b
24130,1989,775,Married,21,NO,VERY HAPPY,Pisces,Ballot c
24137,1989,782,Married,26,NO,VERY HAPPY,Libra,Ballot b
24140,1989,785,Married,23,NO,VERY HAPPY,Aries,Ballot c
24141,1989,786,Married,16,NO,VERY HAPPY,Sagittarius,Ballot a
24142,1989,787,Married,28,NO,VERY HAPPY,Capricorn,Ballot b
24144,1989,789,Married,19,YES,PRETTY HAPPY,Cancer,Ballot b
24145,1989,790,Married,22,NO,PRETTY HAPPY,Libra,Ballot a
24147,1989,792,Married,27,NO,PRETTY HAPPY,Pisces,Ballot c
24151,1989,796,Married,20,NO,PRETTY HAPPY,Gemini,Ballot a
24152,1989,797,Married,36,NO,PRETTY HAPPY,Libra,Ballot a
24156,1989,801,Married,19,YES,VERY HAPPY,Virgo,Ballot c
24159,1989,804,Married,20,YES,VERY HAPPY,Virgo,Ballot a
24160,1989,805,Married,21,NO,VERY HAPPY,Pisces,Ballot b
24161,1989,806,Married,18,NO,PRETTY HAPPY,Cancer,Ballot c
24163,1989,808,Married,29,YES,VERY HAPPY,Pisces,Ballot b
24164,1989,809,Married,18,NO,PRETTY HAPPY,Pisces,Ballot a
24165,1989,810,Married,23,NO,VERY HAPPY,Sagittarius,Ballot b
24166,1989,811,Married,18,NO,VERY HAPPY,Aries,Ballot c
24168,1989,813,Married,24,NO,VERY HAPPY,Capricorn,Ballot b
24170,1989,815,Married,28,NO,VERY HAPPY,Leo,Ballot b
24172,1989,817,Married,18,NO,PRETTY HAPPY,Aquarius,Ballot a
24173,1989,818,Married,27,NO,PRETTY HAPPY,Sagittarius,Ballot b
24175,1989,820,Married,34,NO,VERY HAPPY,Virgo,Ballot c
24176,1989,821,Married,20,NO,VERY HAPPY,Aries,Ballot a
24179,1989,824,Married,21,NO,VERY HAPPY,Pisces,Ballot b
24180,1989,825,Married,18,YES,PRETTY HAPPY,Pisces,Ballot c
24182,1989,827,Married,22,NO,PRETTY HAPPY,Gemini,Ballot a
24183,1989,828,Married,20,NO,VERY HAPPY,Pisces,Ballot b
24185,1989,830,Married,27,NO,VERY HAPPY,Leo,Ballot a
24186,1989,831,Married,17,NO,PRETTY HAPPY,Aries,Ballot b
24187,1989,832,Married,18,NO,VERY HAPPY,Capricorn,Ballot b
24189,1989,834,Married,20,NO,VERY HAPPY,Scorpio,Ballot a
24190,1989,835,Married,20,NO,VERY HAPPY,Aries,Ballot b
24198,1989,843,Married,25,NO,VERY HAPPY,Pisces,Ballot b
24199,1989,844,Married,21,NO,VERY HAPPY,Aries,Ballot b
24201,1989,846,Married,25,NO,PRETTY HAPPY,Gemini,Ballot a
24202,1989,847,Married,19,NO,VERY HAPPY,Sagittarius,Ballot b
24206,1989,851,Married,29,NO,VERY HAPPY,Aquarius,Ballot c
24207,1989,852,Married,21,NO,PRETTY HAPPY,Leo,Ballot c
24209,1989,854,Married,19,NO,VERY HAPPY,Aquarius,Ballot a
24211,1989,856,Married,25,NO,PRETTY HAPPY,Taurus,Ballot b
24212,1989,857,Married,25,NO,VERY HAPPY,Sagittarius,Ballot c
24214,1989,859,Married,19,NO,PRETTY HAPPY,Capricorn,Ballot b
24215,1989,860,Married,19,YES,VERY HAPPY,Cancer,Ballot c
24216,1989,861,Married,20,NO,VERY HAPPY,Capricorn,Ballot a
24219,1989,864,Married,23,NO,VERY HAPPY,Gemini,Ballot a
24221,1989,866,Married,28,YES,PRETTY HAPPY,Libra,Ballot a
24223,1989,868,Married,18,NO,VERY HAPPY,Pisces,Ballot b
24226,1989,871,Married,27,NO,VERY HAPPY,Sagittarius,Ballot c
24231,1989,876,Married,16,YES,PRETTY HAPPY,Leo,Ballot a
24233,1989,878,Married,19,NO,PRETTY HAPPY,Scorpio,Ballot c
24234,1989,879,Married,19,YES,PRETTY HAPPY,Aries,Ballot a
24235,1989,880,Married,20,NO,PRETTY HAPPY,Gemini,Ballot c
24236,1989,881,Married,21,NO,VERY HAPPY,Taurus,Ballot c
24237,1989,882,Married,20,YES,VERY HAPPY,Libra,Ballot b
24239,1989,884,Married,21,YES,VERY HAPPY,Aries,Ballot a
24240,1989,885,Married,18,YES,VERY HAPPY,Taurus,Ballot b
24241,1989,886,Married,19,YES,PRETTY HAPPY,Sagittarius,Ballot a
24242,1989,887,Married,21,YES,PRETTY HAPPY,Pisces,Ballot c
24243,1989,888,Married,24,NO,VERY HAPPY,Libra,Ballot a
24245,1989,890,Married,27,YES,VERY HAPPY,Scorpio,Ballot b
24248,1989,893,Married,28,YES,VERY HAPPY,Pisces,Ballot a
24249,1989,894,Married,20,NO,VERY HAPPY,Virgo,Ballot c
24251,1989,896,Married,15,YES,VERY HAPPY,Capricorn,Ballot b
24252,1989,897,Married,23,YES,VERY HAPPY,Libra,Ballot a
24253,1989,898,Married,15,NO,VERY HAPPY,Pisces,Ballot c
24258,1989,903,Married,26,YES,PRETTY HAPPY,Cancer,Ballot a
24259,1989,904,Married,24,YES,VERY HAPPY,Aries,Ballot c
24264,1989,909,Married,25,YES,VERY HAPPY,Cancer,Ballot a
24265,1989,910,Married,16,YES,VERY HAPPY,Aries,Ballot b
24268,1989,913,Married,23,NO,VERY HAPPY,Sagittarius,Ballot a
24270,1989,915,Married,23,NO,VERY HAPPY,Pisces,Ballot a
24272,1989,917,Married,21,NO,VERY HAPPY,Cancer,Ballot c
24276,1989,921,Married,17,NO,PRETTY HAPPY,Scorpio,Ballot c
24279,1989,924,Married,17,YES,PRETTY HAPPY,Leo,Ballot b
24281,1989,926,Married,18,NO,VERY HAPPY,Taurus,Ballot a
24288,1989,933,Married,18,NO,PRETTY HAPPY,Capricorn,Ballot c
24289,1989,934,Married,23,NO,VERY HAPPY,Virgo,Ballot a
24290,1989,935,Married,21,NO,PRETTY HAPPY,Leo,Ballot a
24292,1989,937,Married,24,NO,VERY HAPPY,Aquarius,Ballot b
24295,1989,940,Married,23,NO,PRETTY HAPPY,Taurus,Ballot b
24304,1989,949,Married,20,NO,VERY HAPPY,Leo,Ballot b
24305,1989,950,Married,25,NO,VERY HAPPY,Leo,Ballot c
24307,1989,952,Married,18,NO,PRETTY HAPPY,Sagittarius,Ballot b
24309,1989,954,Married,19,YES,PRETTY HAPPY,Sagittarius,Ballot a
24310,1989,955,Married,18,NO,VERY HAPPY,Aquarius,Ballot a
24313,1989,958,Married,24,NO,PRETTY HAPPY,Pisces,Ballot c
24315,1989,960,Married,27,NO,PRETTY HAPPY,Aries,Ballot a
24317,1989,962,Married,21,NO,VERY HAPPY,Capricorn,Ballot c
24318,1989,963,Married,18,NO,PRETTY HAPPY,Aries,Ballot c
24320,1989,965,Married,19,YES,VERY HAPPY,Gemini,Ballot a
24321,1989,966,Married,26,NO,VERY HAPPY,Scorpio,Ballot b
24322,1989,967,Married,24,NO,PRETTY HAPPY,Cancer,Ballot c
24323,1989,968,Married,16,YES,VERY HAPPY,Capricorn,Ballot c
24324,1989,969,Married,21,NO,VERY HAPPY,Aries,Ballot c
24326,1989,971,Married,28,NO,VERY HAPPY,Scorpio,Ballot b
24328,1989,973,Married,27,NO,VERY HAPPY,Sagittarius,Ballot b
24329,1989,974,Married,21,NO,VERY HAPPY,Leo,Ballot c
24331,1989,976,Married,32,NO,PRETTY HAPPY,Aquarius,Ballot c
24334,1989,979,Married,21,YES,VERY HAPPY,Virgo,Ballot a
24336,1989,981,Married,29,NO,VERY HAPPY,Taurus,Ballot b
24337,1989,982,Married,18,NO,VERY HAPPY,Libra,Ballot b
24341,1989,986,Married,24,NO,VERY HAPPY,Libra,Ballot a
24342,1989,987,Married,21,NO,PRETTY HAPPY,Taurus,Ballot c
24345,1989,990,Married,28,NO,VERY HAPPY,Aries,Ballot a
24349,1989,994,Married,25,YES,PRETTY HAPPY,Aries,Ballot b
24350,1989,995,Married,18,NO,PRETTY HAPPY,Gemini,Ballot a
24351,1989,996,Married,27,NO,PRETTY HAPPY,Cancer,Ballot c
24353,1989,998,Married,22,NO,VERY HAPPY,Pisces,Ballot c
24354,1989,999,Married,28,NO,PRETTY HAPPY,Libra,Ballot b
24356,1989,1001,Married,21,NO,VERY HAPPY,Aries,Ballot a
